"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 22 08:45:49 GMT 2024","Fri Nov 22 08:45:50 GMT 2024","1631","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
"passed","Fri Nov 22 08:45:50 GMT 2024","Fri Nov 22 08:45:53 GMT 2024","2508","","スモークテスト","","","","Webサイトを開きログインする",""
